"year","Chicago","Detroit","Minneapolis.StPaul","Boston","New.York","Philadelphia","Atlanta","Baltimore","Dallas.FortWorth","Houston","Miami","DC","Los.Angeles","San.Francisco","San.Diego","Seattle","Average"
2001,160223369.934167,74321319.0716974,59530281.4476124,81304284.6416684,416598898.73993,106577185.415578,57862073.3780915,40697658.3775052,116565650.633,73726980.3782875,97874290.4018897,91409434.836201,213131617.325295,103257097.954151,40348504.5175666,79049706.3653596,106616373.730471
2002,159604540.545893,71202228.3496838,61733630.254802,87040598.280297,398474580.179653,87863590.614168,67239186.7044161,45677878.2776266,106375241.849376,74218407.70037,96821314.3999828,97144154.6558399,224362140.469778,95929216.2772669,44760364.6424208,73805675.3553255,105426632.268053
2003,181611212.269561,82389343.5290643,68101753.7536751,95638771.5867853,445032084.730388,92119181.7154578,83662730.9648861,50760491.5095969,113258633.8943,81281283.4713363,125902247.883532,110392873.813497,294953261.814755,109775619.751763,60501080.5941516,85840589.8253701,122424774.182831
2004,120222614.885755,51621255.4267613,46407323.6912151,68358159.9941719,304096794.287287,68625092.9239562,56382264.3313741,32089315.7590566,69987644.629535,52942535.4366498,94734885.4740506,74797953.6350602,202946452.323111,72551385.4522204,46214277.1980941,54259098.8479972,83308062.0174292
2005,149039295.530077,71482277.4892636,56972795.1141636,86621374.8749844,375251059.56315,97720927.059903,65711783.7876532,35329015.5358222,81167851.2446818,68828767.104281,105069301.272203,86596344.1628947,225461457.37153,84275531.5577755,46977344.3026735,63524726.496909,100001756.027527
2006,177273464.510879,80784355.2117339,63798389.1171872,91112308.315151,420197481.453345,112943689.101908,65244601.6265607,38615198.0969488,93551285.3029089,84886789.047218,117881393.001942,102228268.285792,259313025.661082,103945975.404528,44768880.073871,69989017.2791924,113325536.55825
2007,305659586.623601,138247889.072927,123470091.11856,151668175.832663,658905372.822367,163547104.014977,125312219.82742,72987146.3980118,155405118.502811,148700283.757599,230352622.669189,192895680.94862,473380666.840959,184783712.474342,69678705.1916655,106162760.092796,194185713.893442
2008,196289868.503416,88268904.1638474,79304721.855854,112529012.22035,423569831.813319,100512898.56373,86083166.1068068,48309849.618981,101332231.188569,87711183.6359229,137767510.465027,124892789.941635,299979960.075539,121666672.490336,59928587.1322757,82177016.6383506,126489659.083174
2009,230276404.612624,99774684.4048811,79576270.302682,134626003.924746,498050857.720874,134156432.528662,82538952.5694198,55589315.0047746,121577212.005347,103140000.525299,136884527.019643,143434383.904665,326744048.010526,131252460.100031,86604288.2117525,103622625.612398,145167556.85049
2010,235371083.23465,89873424.4358881,79649699.0306022,130954762.349621,435898760.928239,124203926.919449,79728876.3760462,51422472.5409206,111541988.083091,96621158.1363909,122323604.72537,135325042.502173,270687747.329954,118049553.143625,68464302.355196,79408560.3612046,131148527.203084
