"year","Chicago","Detroit","Minneapolis.StPaul","Boston","New.York","Philadelphia","Atlanta","Baltimore","Dallas.FortWorth","Houston","Miami","DC","Los.Angeles","San.Francisco","San.Diego","Seattle","Average"
2005,216044754.372801,103619458.393506,82586766.6818607,125564829.005272,543957368.44511,141654545.592498,95254651.7165812,51212322.6060823,117659496.596228,99772976.1801389,152306620.24227,125528544.923104,326824982.667312,122164335.58868,68097536.1220048,92084331.7449418,144960795.345788
2006,220583859.922748,100521106.997833,79385230.9884705,113372323.997166,522857623.641172,140537417.513408,81184773.5114667,48049432.9560744,116407177.294058,105625822.996957,146681471.77686,127204069.001057,322666837.286624,129341436.076908,55706545.8068431,87088316.4958775,141012555.66256
2007,212352550.743735,96045709.5550697,85779049.4295042,105369258.528692,457764921.307323,113621971.055986,87058841.5487234,50706758.0648476,107965445.079733,103307358.689614,160034133.182769,134011467.886107,328874331.03885,128375795.810207,48408266.6714843,73755033.0049419,134907699.50574
2008,205953684.717246,92614591.8640799,83209081.5803117,118069082.633115,444423180.178038,105461387.175216,90321244.7336018,50688258.2021395,106321057.490252,92029413.4305506,144550132.061962,131041558.482928,314748685.655237,127656611.610776,62879013.7458159,86222786.2537091,132717045.283234
2009,240918727.849607,104385814.425306,83253921.9143584,140847802.689932,521068492.659366,140356529.849498,86353525.8183093,58158399.1443262,127195955.230858,107906660.07993,143210704.40258,150063265.745072,341844664.943198,137318349.084113,90606742.6986059,108411589.893333,151876538.0252
2010,245580394.992014,93771718.9763995,83104535.5279682,136634975.809003,454806038.253077,129591320.281383,83187147.22139,53652942.1733409,116380164.951408,100812138.235627,127629438.384983,141194818.553235,282428933.050015,123169998.16303,71433967.9461803,82852937.375533,136837145.287917
2011,262869087.590887,111036158.269002,92828856.5794594,161787567.01039,521609612.460746,134839050.763707,100748818.558253,63212532.7545687,143527787.402775,119467295.491033,133100963.819841,167246323.464143,315108725.762384,144016567.137501,65273505.4880793,81029293.4423561,153982479.176184
2012,263127027.929285,123853462.410665,83262206.2257064,178134158.776659,536729207.48732,151957955.340072,127778946.870491,69572398.9778349,149925203.909506,131536615.717129,138426045.892067,186840511.105036,343497419.993915,155558430.987009,76422117.5233782,100336120.265976,165703401.730121
2013,250028155.708415,109828988.047411,70126799.8262074,162136968.34337,462635811.747336,154013594.615505,129719829.92265,53851179.1362005,122941799.709898,125005874.535314,118871200.819379,150144631.957589,321234900.117352,136371915.232449,73302339.6452207,91651756.982552,148933279.196873
2014,270084643.909009,113840876.914808,84217283.8874733,145561096.214947,539009439.792656,165023228.136446,134065350.147596,70650192.6998913,150187414.73016,146676832.972685,121424934.676986,151666697.698847,325105373.938272,135693460.28003,78511653.7808648,101607678.457931,160783891.661094
2015,245864717.580222,95011446.8244538,91739089.9781764,151668890.30845,502541587.965823,161271957.617114,116378606.085329,69668333.1403165,165991977.771649,141218091.631272,164642769.151576,141322093.738497,296282371.888679,123920714.816461,77122215.1922666,123433019.604493,156945757.840869
2016,271456341.543146,100317810.968368,104271279.66694,168591648.465346,479678385.946589,177046234.680042,103198886.51524,68244095.3425511,161417083.237448,161733058.22774,168576162.574469,164867278.354246,317453070.889525,132133949.542135,83770184.7610597,147915982.283058,165333614.88223
2017,232355796.089974,93136459.1902732,92177137.5195406,151220462.729785,458725101.003646,167730727.786084,92463079.2341234,71985723.5634473,122826749.110811,140504124.894444,140844990.484944,148374865.297637,291035662.572271,116337808.982151,76739556.5810276,139476142.63479,149172611.039703
2018,253958760.081208,107306079.130357,97670219.031335,181132461.698082,550152235.184217,185294733.916065,102344009.641435,74117551.224718,151024554.726764,139297633.611572,149290324.578077,178929480.284886,303706919.772953,139180769.985628,84670789.8046896,149532876.261883,167506435.231404
2019,220551088.894302,88696056.4244282,94027623.8392249,146522469.957181,510981317.314862,128487387.351926,99700095.6399283,67129022.3101058,133985977.298358,114716661.655856,115596004.171554,168437691.808936,239710477.190864,144291566.304503,74616543.3269977,109243865.28815,144511402.869246
2020,225773488.121509,81054250.0484236,87875470.1068497,157979574.440241,561215642.681095,118064890.119476,127230429.350187,62693994.5297939,98224671.6115484,84288468.0976003,125852117.745904,163660656.726051,251444844.947631,153405993.315912,84466010.1402348,105839808.342859,146415900.607372
2021,245970141.24875,97947925.8581146,93942282.8434987,191332795.425714,634949709.285219,162159953.105416,153073373.768664,71492186.6775525,99507623.4077912,99557672.5054513,163962567.686193,187403439.959702,313834166.004655,168795872.135249,90599754.2315161,125710342.448844,170602341.564255
2022,219385918.252204,104226636.059985,95523158.2625869,157526874.911167,572990974.719659,154446613.39014,138766051.96456,75391792.8710219,116390581.421914,101739555.464018,155125459.750044,154603839.97004,301340309.102637,179383806.213543,92806376.2179012,115006014.175127,160861997.80862
