"year","Chicago","Detroit","Minneapolis.StPaul","Boston","New.York","Philadelphia","Atlanta","Baltimore","Dallas.FortWorth","Houston","Miami","DC","Los.Angeles","San.Francisco","San.Diego","Seattle","Average"
2003,151150583.252954,68570641.4963082,56679428.9393236,79597817.371992,370389351.696157,76668548.5497965,69630450.8066815,42246719.2526312,94262399.0976213,67648430.1310964,104785370.69731,91877296.8659737,245482407.162663,91363571.3625725,50353574.0164907,71443029.6276199,101891154.136894
2004,152649225.631271,65544612.1721546,58924371.5237395,86795817.8966977,386118204.208235,87134748.3472272,71589767.0143061,40744490.5961507,88864809.3922047,67222269.66233,120286910.425489,94972561.6269928,257685451.453337,92120045.9520989,58679256.262241,68893938.3864517,105778028.267702
2005,188006557.259261,90171768.7809083,71868690.9298327,109269078.449335,473362810.5624,123270678.40312,82892543.1869637,44566008.9751862,102389696.746552,86824481.4070787,132540331.296967,109237503.30005,284409774.243214,106309899.634315,59259866.6017326,80133666.0042773,126147844.457717
2006,191956579.605136,87475520.1227487,69082649.1885999,98658911.5994382,455001381.74107,122298530.735025,70648647.8418527,41813597.8101232,101299902.915298,91917748.232233,127645212.227196,110695578.569756,280791271.216485,112555559.047859,48476973.784226,75786031.5073497,122712005.655553
2007,183847479.013572,83153046.7137101,74264528.1846711,91225052.2924357,396317004.285763,98369964.787495,75372527.8482298,43900153.8080106,93472740.6332926,89439930.8702281,138552006.268483,116022484.512095,284727998.142736,111143314.942092,41910199.6175653,63854551.4759794,116798410.788021
2008,178307562.570866,80182503.9277719,72039539.0872235,102220119.869145,384766187.195597,91304814.0817288,78197003.46185,43884137.2680204,92049086.8472247,79675876.7203253,125146494.721136,113451239.877827,272498503.916641,110520670.186714,54438470.9274279,74648700.1486518,114901818.282832
2009,189521812.709036,82116442.1196124,65492767.3625911,110799733.67012,409905224.703058,110413267.57807,67931110.5989188,45751051.9355265,100060332.460571,84886160.5914356,112658540.662135,118049196.087394,268916497.871394,108023243.64289,71276958.3052942,85283370.1167438,119475630.024399
2010,193188973.062076,73766727.5594427,65375250.642345,107485659.275698,357779013.57069,101944677.154433,65440238.1924122,42206776.3209019,91551952.0704761,79305163.8285951,100401337.553375,111072718.157623,222176348.974129,96893261.6056234,56194448.7047535,65177327.723071,107644698.493861
2011,209146964.197898,88343881.0968208,73857575.7289957,128723307.846107,415009113.252573,107282215.573579,80158948.0950208,50293891.3283486,114195249.386076,95051960.6617636,105899338.601801,133066467.215135,250710473.374638,114584138.009749,51933666.4516192,64469469.917074,122513332.984541
2012,209352189.693274,98541733.8569063,66246045.9847902,141729173.519512,427038741.493345,120902557.757413,101664973.5094,55354002.1443111,119285236.395787,104654693.749759,110136142.402954,148656222.931846,273297416.824251,123767210.11394,60803854.9685428,79830592.2744471,131838869.860028
2013,193416839.718745,84961534.5017843,54248706.3648631,125425954.247829,357885920.469054,119141872.881689,100348696.655397,41658207.8691922,95105346.4432808,96702073.9340064,91956411.59258,116148919.835406,248500969.868866,105494618.379754,56705241.2077265,70899987.8034097,115211841.280799
2014,208932142.595831,88065052.4389394,65148826.3514127,112603187.173546,416967049.682389,127658707.779936,103710305.216887,54653592.7476485,116182015.742711,113466299.077997,93931929.6330243,117326359.810852,251495091.920983,104969779.037494,60735063.666576,78601691.8886949,124379240.868525
2015,194023798.748096,74978150.6629488,72395774.8246307,119689293.116862,396579992.793048,127267540.281393,91840014.5735273,54978667.8681197,130992337.599055,111442059.925967,129927611.499489,111524133.043738,233810820.282421,97791859.1528862,60860888.4867317,97406995.1569925,123853525.765642
2016,214219393.082607,79165660.5215233,82285534.8275163,133043864.098869,378537528.827597,139715789.010923,81439257.2684904,53854732.5976882,127382065.962142,127631417.184754,133031643.429696,130104782.623449,250517647.852979,104273321.87421,66107124.3939969,116727690.986206,130472791.443685
2017,272867677.228454,109375060.627675,108248478.547896,177586172.193055,538705101.84641,196975048.012593,108584274.997969,84536635.25037,144241935.408451,165001410.965955,165401707.422907,174244436.91163,341778542.102684,136621630.469311,90119312.3140262,163794197.132067,175181271.848909
2018,298237178.246864,126015193.326425,114699294.142656,212713411.612461,646072811.881268,217601387.60112,120187973.181831,87040153.0105084,177356107.083279,163584564.562752,175319509.071028,210126334.245287,356659068.339162,163447325.437667,99433378.1721458,175604350.317434,196711649.425405
2019,274561014.753732,110416499.771698,117053694.659165,182403806.017691,636113608.441097,159952179.929193,124115276.724214,83567995.8656726,166797298.867283,142809193.059514,143903874.453455,209685764.045361,298412273.521654,179626584.768103,92889107.7164191,135996184.192539,179900256.281576
2020,281062307.667132,100903320.201077,109394963.160036,196666597.685504,698649628.631105,146977356.586648,158387410.214428,78046890.8286126,122278541.659994,104929553.732585,156671569.070247,203738898.824941,313020226.42247,190973009.497617,105150573.377655,131758520.557034,182271139.301005
2021,279070697.232824,111128919.237761,106584231.076509,217080725.131432,720395805.679545,183982051.425522,173672678.027211,81112993.1523962,112898507.531896,112955291.808674,186027246.445315,212622590.644016,356067281.491005,191510975.631665,102791893.577612,142627364.193353,193560544.252161
2022,232129137.592033,110280729.663376,101071702.888746,166676958.630775,606273647.23012,163417777.475803,146826397.182677,79770989.8615686,123151228.230816,107649184.856568,164136055.209111,163584136.696529,318843919.568702,189803468.545583,98197114.2274383,121686237.207256,170205805.003947
